artigoEmPeriodico	 	2017	1648-5831	http://dx.doi.org/10.15388/infedu.2017.12	Automatic content recommendation and aggregation according to SCORM	INFORMATICS IN EDUCATION	NEVES, Daniel Eugênio ; BRANDÃO, Wladmir Cardoso ; ISHITANI, Lucila	B3	Informatics in Education
trabalhoCompletoEmCongresso	 	2015		Assessing the efficiency of suffix stripping approaches for portuguese stemming	International Symposium on String Processing and Information Retrieval (SPIRE)	FERREIRA, Wadson Gomes ; DOS SANTOS, Willian Antônio ; DE SOUZA, Breno Macena Pereira ; ZAIDAN, Tiago Matta Machado ; BRANDÃO, Wladmir Cardoso	B1	Symposium on String Processing and Information Retrieval
trabalhoCompletoEmCongresso	 	2015		Characterizing user behavior on a mobile SMS-based chat service	Brazilian Symposium on Computer Networks and Distributed Systems (SBRC)	OLIVEIRA, Rafael de Almeida ; BRANDÃO, Wladmir Cardoso ; MARQUES-NETO, Humberto Torres	B2	SBRC
trabalhoCompletoEmCongresso	 	2015		ARPPA: mining professional profiles from LinkedIn using association rules	International Conference on Information	SILVA, Paula Raissa Costa e ; BRANDÃO, Wladmir Cardoso	B3	International Conference on Information Technology Based Higher Education and Training
trabalhoCompletoEmCongresso	 	2014		Recomendação e agregação de conteúdos relacionados em conformidade com o padrão SCORM	Simpósio Brasileiro de Informática na Educação (SBIE)	NEVES, Daniel Eugênio ; BRANDÃO, Wladmir Cardoso ; ISHITANI, Lucila	B2	Simpósio Brasileiro de Informática na Educação
trabalhoCompletoEmCongresso	 	2014		ARCA: mining crime patterns using association rules	IADIS International Conference on Applied Computing (AC)	PEREIRA, Bruno Laporais ; BRANDÃO, Wladmir Cardoso	B4	IADIS International Conference on Applied Computing
trabalhoCompletoEmCongresso	 	2012		Automatic query expansion based on tag recommendation	ACM International Conference on Information and Knowledge Management (CIKM)	DE OLIVEIRA, Vitor Campos ; GOMES, Guilherme ; BELÉM, Fabiano Muniz ; BRANDÃO, Wladmir Cardoso ; DE ALMEIDA, Jussara Marques ; ZIVIANI, Nivio ; GONÇALVES, Marcos André	A1	International Conference on Information and Knowledge Management
trabalhoCompletoEmCongresso	 	2011		Minimal perfect hashing and bloom filters made practical	IADIS International Conference on Applied Computing (AC)	BOTELHO, Fabiano Cupertino ; BRANDÃO, Wladmir Cardoso ; ZIVIANI, Nivio	B4	IADIS International Conference on Applied Computing
trabalhoCompletoEmCongresso	 	2011		Exploiting entity semantics for query expansion	IADIS International Conference on WWW/INTERNET (ICWI)	BRANDÃO, Wladmir Cardoso; DA SILVA, Altigran Soares ; DE MOURA, Edleno Silva ; ZIVIANI, Nivio	B2	ICWI
trabalhoCompletoEmCongresso	 	2010		A self-supervised approach for extraction of attribute-value pairs from Wikipedia articles	International Symposium on String Processing and Information Retrieval (SPIRE)	BRANDÃO, Wladmir Cardoso; DE MOURA, Edleno Silva ; DA SILVA, Altigran Soares ; ZIVIANI, Nivio	B1	Symposium on String Processing and Information Retrieval
trabalhoCompletoEmCongresso	 	2010		Uma abordagem baseada em métricas de redes complexas para o estabelecimento do grau de influência de termos em documentos	Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB)	BRANDÃO, Wladmir Cardoso; PARREIRAS, Fernando Silva	Qualis nao identificado	Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB)
