ISSN,Título,Estrato,Classificação
1808-2882,CUSTOS E @GRONEGÓCIO ONLINE,B5,Atualizado
1925-2676,CYBER JOURNALS: MULTIDISCIPLINARY JOURNALS IN SCIENCE AND TECHNOLOGY,C ,Atualizado
0907-0877,CYBERNETICS & HUMAN KNOWING,C ,Atualizado
1043-4666,CYTOKINE,B3,Atualizado
1552-4922,CYTOMETRY. PART A,B3,Atualizado
0169-023X,DATA & KNOWLEDGE ENGINEERING,A2,Atualizado
2352-3409,DATA IN BRIEF,B5,Atualizado
1384-5810,DATA MINING AND KNOWLEDGE DISCOVERY,A1,Atualizado
1573-756X,DATA MINING AND KNOWLEDGE DISCOVERY (DORDRECHT. ONLINE),A1,Atualizado
1758-0463,DATABASE: THE JOURNAL OF BIOLOGICAL DATABASES AND CURATION,B2,Atualizado
0167-9236,DECISION SUPPORT SYSTEMS,A1,Atualizado
1980-5764,DEMENTIA & NEUROPSYCHOLOGIA,B5,Atualizado
0929-5585,DESIGN AUTOMATION FOR EMBEDDED SYSTEMS,B1,Atualizado
1572-8080,DESIGN AUTOMATION FOR EMBEDDED SYSTEMS (DORDRECHT. ONLINE),B1,Atualizado
1534-5807,DEVELOPMENTAL CELL,C ,Atualizado
0012-1797,"DIABETES (NEW YORK, N.Y.)",B2,Atualizado
1758-5996,DIABETOLOGY & METABOLIC SYNDROME,B4,Atualizado
1995-6630,DIÁLOGOS DE LA COMUNICACIÓN (EN LÍNEA),C ,Atualizado
1462-6268,DIGITAL CREATIVITY (EXETER),B5,Atualizado
2055-7671,DIGITAL SCHOLARSHIP IN THE HUMANITIES (PRINT),C ,Atualizado
1051-2004,DIGITAL SIGNAL PROCESSING (PRINT),B1,Atualizado
2176-462X,DISCIPLINARUM SCIENTIA. SÉRIE CIÊNCIAS NATURAIS E TECNOLÓGICAS,C ,Atualizado
1432-0444,DISCRETE AND COMPUTATIONAL GEOMETRY (INTERNET),B1,Atualizado
0166-218X,DISCRETE APPLIED MATHEMATICS,A2,Atualizado
0012-365X,DISCRETE MATHEMATICS,A2,Atualizado
1793-8309,"DISCRETE MATHEMATICS, ALGORITHMS AND APPLICATIONS",B5,Atualizado
1365-8050,DISCRETE MATHEMATICS AND THEORETICAL COMPUTER SCIENCE (ONLINE),B1,Atualizado
1572-5286,DISCRETE OPTIMIZATION,B1,Atualizado
0926-8782,DISTRIBUTED AND PARALLEL DATABASES,B1,Atualizado
1573-7578,DISTRIBUTED AND PARALLEL DATABASES (DORDRECHT. ONLINE),B1,Atualizado
1082-9873,D-LIB MAGAZINE,B1,Atualizado
0376-8716,DRUG AND ALCOHOL DEPENDENCE,B3,Atualizado
2318-4051,EAD & TECNOLOGIAS DIGITAIS NA EDUCAÇÃO,C ,Atualizado
1865-0481,EARTH SCIENCE INFORMATICS (INTERNET),B1,Atualizado
1865-0473,EARTH SCIENCE INFORMATICS (PRINT),B1,Atualizado
0197-9337,EARTH SURFACE PROCESSES AND LANDFORMS (PRINT),B2,Atualizado
0906-7590,ECOGRAPHY (COPENHAGEN),B2,Atualizado
0925-8574,ECOLOGICAL ENGINEERING,B2,Atualizado
1574-9541,ECOLOGICAL INFORMATICS (PRINT),A2,Atualizado
0304-3800,ECOLOGICAL MODELLING,B3,Atualizado
1808-2599,E-COMPÓS (BRASÍLIA),B5,Atualizado
1981-4224,EDUCAÇÃO & IMAGEM (UERJ),C ,Atualizado
1517-9702,EDUCAÇÃO E PESQUISA (USP.IMPRESSO),B5,Atualizado
2175-6236,EDUCACAO E REALIDADE,C ,Atualizado
0102-4698,EDUCAÇÃO EM REVISTA (UFMG - IMPRESSO),B5,Atualizado
1983-3156,EDUCAÇÃO MATEMÁTICA PESQUISA (ONLINE),C ,Atualizado
1676-2592,EDUCAÇÃO TEMÁTICA DIGITAL,C ,Atualizado
1981-8106,EDUCAÇÃO: TEORIA E PRÁTICA,C ,Atualizado
0104-4060,EDUCAR EM REVISTA (IMPRESSO),B5,Atualizado
1436-4522,EDUCATIONAL TECHNOLOGY & SOCIETY,B4,Atualizado
1679-4508,EINSTEIN (SÃO PAULO),C ,Atualizado
1577-5097,ELCVIA. ELECTRONIC LETTERS ON COMPUTER VISION AND IMAGE ANALYSIS,B2,Atualizado
1532-5008,ELECTRIC POWER COMPONENTS AND SYSTEMS,B3,Atualizado
0378-7796,ELECTRIC POWER SYSTEMS RESEARCH (PRINT),B3,Atualizado
0948-7921,ELECTRICAL ENGINEERING (BERLIN. PRINT),B3,Atualizado
0013-4686,ELECTROCHIMICA ACTA,B1,Atualizado
1863-2122,ELECTRONIC COMMUNICATIONS OF THE EASST,B5,Atualizado
0717-3458,ELECTRONIC JOURNAL OF BIOTECHNOLOGY,B3,Atualizado
0013-5194,ELECTRONICS LETTERS,A1,Atualizado
1350-911X,ELECTRONICS LETTERS (ONLINE),A1,Atualizado
1806-1877,ELETROEVOLUÇÃO (RIO DE JANEIRO),C ,Atualizado
0922-3444,ELSEVIER (AMSTERDAM),C ,Atualizado
2176-4883,EM DEBATE (BELO HORIZONTE),C ,Atualizado
1808-5245,EM QUESTÃO,B5,Atualizado
1521-3250,"EMERGENCE (MAHWAH, N.J.)",B5,Atualizado
1382-3256,EMPIRICAL SOFTWARE ENGINEERING,B1,Atualizado
1573-7616,EMPIRICAL SOFTWARE ENGINEERING (DORDRECHT. ONLINE),B1,Atualizado
2317-2606,ENCICLOPEDIA BIOSFERA,C ,Atualizado
1809-0583,ENCICLOPÉDIA BIOSFERA,C ,Atualizado
1518-2924,ENCONTROS BIBLI,C ,Atualizado
1996-1073,ENERGIES (BASEL),B3,Atualizado
0360-5442,ENERGY (OXFORD),B1,Atualizado
0301-4215,ENERGY POLICY,B2,Atualizado
1876-6102,ENERGY PROCEDIA,C ,Atualizado
1983-1277,ENGENHARIA DE SOFTWARE MAGAZINE,C ,Atualizado
1983-1277,ENGENHARIA DE SOFTWARE MAGAZINE,C ,Atualizado
1676-1790,ENGENHARIA TÉRMICA,C ,Atualizado
0952-1976,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,A2,Atualizado
0969-9988,ENGINEERING CONSTRUCTION AND ARCHITECTURAL MANAGEMENT (PRINT),B5,Atualizado
1042-9247,ENGINEERING MANAGEMENT JOURNAL,B4,Atualizado
2179-7625,ENGINEERING RESEARCH,C ,Atualizado
0177-0667,ENGINEERING WITH COMPUTERS,B1,Atualizado
0104-4036,ENSAIO - AVALIAÇÃO E POLÍTICAS PÚBLICAS EM EDUCAÇÃO,B5,Atualizado
1751-7575,ENTERPRISE INFORMATION SYSTEMS (PRINT),A2,Atualizado
1875-9521,ENTERTAINMENT COMPUTING,B1,Atualizado
1099-4300,ENTROPY (BASEL. ONLINE),B3,Atualizado
1352-8505,ENVIRONMENTAL AND ECOLOGICAL STATISTICS,B3,Atualizado
1364-8152,ENVIRONMENTAL MODELLING & SOFTWARE,A1,Atualizado
0167-6369,ENVIRONMENTAL MONITORING AND ASSESSMENT (PRINT),B3,Atualizado
1748-9326,ENVIRONMENTAL RESEARCH LETTERS,B2,Atualizado
0013-9580,EPILEPSIA (COPENHAGEN),B2,Atualizado
2193-1127,EPJ DATA SCIENCE,B1,Atualizado
2317-8876,ERGODESIGN & HCI,C ,Atualizado
0798-1015,ESPACIOS (CARACAS),C ,Atualizado
1808-0588,"E.T.C. EDUCAÇÃO, TECNOLOGIA E CULTURA",C ,Atualizado
1225-6463,ETRI JOURNAL,B3,Atualizado
1951-6355,EUR. PHYS. J. SPECIAL TOPICS,B3,Atualizado
1687-1499,EURASIP J WIREL COMM,B1,Atualizado
1687-6180,EURASIP JOURNAL ON ADVANCES IN SIGNAL PROCESSING (ONLINE),B1,Atualizado
1687-4714,"EURASIP JOURNAL ON AUDIO, SPEECH AND MUSIC PROCESSING (PRINT)",B1,Atualizado
1687-5176,EURASIP JOURNAL ON IMAGE AND VIDEO PROCESSING (PRINT),B1,Atualizado
1687-417X,EURASIP JOURNAL ON INFORMATION SECURITY,B2,Atualizado
1687-4161,EURASIP JOURNAL ON MULTIMEDIA AND INFORMATION SECURITY (PRINT),B2,Atualizado
1687-1499,EURASIP JOURNAL ON WIRELESS COMMUNICATIONS AND NETWORKING,B1,Atualizado
2192-4406,EURO JOURNAL ON COMPUTATIONAL OPTIMIZATION (PRINT),B5,Atualizado
2192-4376,EURO JOURNAL ON TRANSPORTATION AND LOGISTICS,C ,Atualizado
2349-8870,EUROPEAN JOURNAL OF BIOMEDICAL AND PHARMACEUTICAL SCIENCES,C ,Atualizado
0954-3007,EUROPEAN JOURNAL OF CLINICAL NUTRITION,B3,Atualizado
0195-6698,EUROPEAN JOURNAL OF COMBINATORICS (PRINT),B1,Atualizado
1751-5254,EUROPEAN JOURNAL OF INDUSTRIAL ENGINEERING,B3,Atualizado
2042-115X,EUROPEAN JOURNAL OF LAW AND TECHNOLOGY,C ,Atualizado
0223-5234,EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY,B2,Atualizado
0377-2217,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,A1,Atualizado
0928-0987,EUROPEAN JOURNAL OF PHARMACEUTICAL SCIENCES,B2,Atualizado
2279-7254,EUROPEAN JOURNAL OF REMOTE SENSING,B4,Atualizado
1450-216X,EUROPEAN JOURNAL OF SCIENTIFIC RESEARCH,C ,Atualizado
1434-6036,"EUROPEAN PHYSICAL JOURNAL. B, CONDENSED MATTER AND COMPLEX SYSTEMS (INTERNET)",B3,Atualizado
0014-3057,EUROPEAN POLYMER JOURNAL,B2,Atualizado
0924-9338,EUROPEAN PSYCHIATRY (PARIS),B2,Atualizado
0938-7994,EUROPEAN RADIOLOGY,B3,Atualizado
2212-764X,EUROPEAN RESEARCH IN TELEMEDICINE / LA RECHERCHE EUROPÉENNE EN TÉLÉMÉDECINE,B5,Atualizado
1124-318X,EUROPEAN TRANSACTIONS ON TELECOMMUNICATIONS,B5,Atualizado
0295-5075,EUROPHYSICS LETTERS (PRINT),B3,Atualizado
1808-2307,EVIDÊNCIA: OLHARES E PESQUISA EM SABERES EDUCACIONAIS,C ,Atualizado
1063-6560,EVOLUTIONARY COMPUTATION,A1,Atualizado
1530-9304,EVOLUTIONARY COMPUTATION (ONLINE),A1,Atualizado
1864-5909,EVOLUTIONARY INTELLIGENCE (PRINT),B1,Atualizado
1983-9308,EXACTA (ONLINE),B5,Atualizado
1678-5428,EXACTA (SÃO PAULO. IMPRESSO),B5,Atualizado
1746-0441,EXPERT OPINION ON DRUG DISCOVERY (PRINT),B3,Atualizado
1742-5255,EXPERT OPINION ON DRUG METABOLISM & TOXICOLOGY,B3,Atualizado
0957-4174,EXPERT SYSTEMS WITH APPLICATIONS,A1,Atualizado
1982-4432,EXTENSÃO EM FOCO (CURITIBA),C ,Atualizado
0972-0871,FAR EAST JOURNAL OF MATHEMATICAL SCIENCES: FJMS,B5,Atualizado
1396-0466,FIRST MONDAY (ONLINE),A2,Atualizado
0363-2415,"FISHERIES (BETHESDA, MD.)",B3,Atualizado
1980-5918,FISIOTERAPIA EM MOVIMENTO,B5,Atualizado
0103-5150,FISIOTERAPIA EM MOVIMENTO (PUCPR. IMPRESSO),B5,Atualizado
1809-3469,FISIOTERAPIA SER,C ,Atualizado
1677-0323,FLF.EDU,C ,Atualizado
0955-5986,FLOW MEASUREMENT AND INSTRUMENTATION,B3,Atualizado
2157-944X,FOOD AND NUTRITION SCIENCES,C ,Atualizado
0308-8146,FOOD CHEMISTRY,B2,Atualizado
0956-7135,FOOD CONTROL,B3,Atualizado
0963-9969,FOOD RESEARCH INTERNATIONAL,B3,Atualizado
0379-0738,FORENSIC SCIENCE INTERNATIONAL,B3,Atualizado
0718-5006,FORMACIÓN UNIVERSITARIA,C ,Atualizado
0934-5043,FORMAL ASPECTS OF COMPUTING,B1,Atualizado
1433-299X,FORMAL ASPECTS OF COMPUTING (INTERNET),B1,Atualizado
2318-6356,FORSCIENCE,C ,Atualizado
2368-7533,FOUNDATIONS - JOURNAL OF THE PROFESSIONAL PETROLEUM DATA MANAGEMENT ASSOCIATION (PRINT),B5,Atualizado
1551-3955,FOUNDATIONS AND TRENDS IN HUMAN-COMPUTER INTERACTION (PRINT),B1,Atualizado
1554-0669,FOUNDATIONS AND TRENDS IN INFORMATION RETRIEVAL,B1,Atualizado
1615-3375,FOUNDATIONS OF COMPUTATIONAL MATHEMATICS (PRINT),A2,Atualizado
1662-5102,FRONTIERS IN CELLULAR NEUROSCIENCE,B2,Atualizado
1662-5188,FRONTIERS IN COMPUTATIONAL NEUROSCIENCE,B2,Atualizado
1664-8021,FRONTIERS IN GENETICS,B5,Atualizado
1664-302X,FRONTIERS IN MICROBIOLOGY (ONLINE),B2,Atualizado
1662-5196,FRONTIERS IN NEUROINFORMATICS,B2,Atualizado
1662-453X,FRONTIERS IN NEUROSCIENCE,B3,Atualizado
1664-1078,FRONTIERS IN PSYCHOLOGY,B3,Atualizado
1438-793X,FUNCTIONAL & INTEGRATIVE GENOMICS (PRINT),B4,Atualizado
0169-2968,FUNDAMENTA INFORMATICAE,A2,Atualizado
0167-739X,FUTURE GENERATION COMPUTER SYSTEMS,A2,Atualizado
1756-8919,FUTURE MEDICINAL CHEMISTRY,B3,Atualizado
1756-8919,FUTURE MEDICINAL CHEMISTRY,B3,Atualizado
1616-8658,FUZZY INFORMATION AND ENGINEERING,B5,Atualizado
0165-0114,FUZZY SETS AND SYSTEMS,A1,Atualizado
2046-1402,F1000RESEARCH,B5,Atualizado
2161-7856,"GAMES FOR HEALTH: RESEARCH, DEVELOPMENT, AND CLINICAL APPLICATIONS",B5,Atualizado
0378-1119,GENE (AMSTERDAM),B3,Atualizado
1947-6027,GENES & CANCER,C ,Atualizado
1389-2576,GENETIC PROGRAMMING AND EVOLVABLE MACHINES,B1,Atualizado
1389-2576,GENETIC PROGRAMMING AND EVOLVABLE MACHINES,B1,Atualizado
1676-5680,GENETICS AND MOLECULAR RESEARCH,B4,Atualizado
1676-5680,GENETICS AND MOLECULAR RESEARCH,B4,Atualizado
2169-8287,GENOME ANNOUNCEMENTS,C ,Atualizado
1384-6175,GEOINFORMATICA (DORDRECHT),B1,Atualizado
1573-7624,GEOINFORMATICA (DORDRECHT. ONLINE),B1,Atualizado
1991-9603,GEOSCIENTIFIC MODEL DEVELOPMENT,B5,Atualizado
1991-962X,GEOSCIENTIFIC MODEL DEVELOPMENT DISCUSSIONS,C ,Atualizado
2236-0972,GEP – REVISTA DE GESTÃO E PROJETOS,C ,Atualizado
1984-2430,"GEPROS. GESTÃO DA PRODUÇÃO, OPERAÇÕES E SISTEMAS (ONLINE)",C ,Atualizado
1806-9649,GESTÃO & PRODUÇÃO,B5,Atualizado
2317-5087,GESTÃO E CONEXÕES,C ,Atualizado
1679-1827,GESTÃO.ORG,C ,Atualizado
2047-217X,GIGASCIENCE (ONLINE),B1,Atualizado
1548-1603,GISCIENCE AND REMOTE SENSING,B2,Atualizado
2315-5159,GLOBAL ADVANCED RESEARCH JOURNAL OF MEDICINE AND MEDICAL SCIENCES (GARJMMS),B5,Atualizado
0975-5896,GLOBAL JOURNAL OF SCIENCE FRONTIER RESEARCH,C ,Atualizado
1998-5509,GLOBAL TELEMEDICINE AND EHEALTH UPDATES: KNOWLEDGE RESOURCES,B5,Atualizado
1524-0703,GRAPHICAL MODELS (PRINT),A2,Atualizado
0911-0119,GRAPHS AND COMBINATORICS,B1,Atualizado
1351-8216,HAEMOPHILIA (OXFORD. PRINT),B3,Atualizado
2190-7188,HEALTH AND TECHNOLOGY,B5,Atualizado
1807-1600,HOLOS (NATAL. ONLINE),B5,Atualizado
1808-3064,HORIZONTE CIENTÍFICO (UBERLÂNDIA),C ,Atualizado
0018-5345,HORTSCIENCE,B4,Atualizado
2330-8001,HUMAN COMPUTATION,B5,Atualizado
2316-7963,HUMAN FACTORS IN DESIGN,C ,Atualizado
1059-7794,HUMAN MUTATION,B2,Atualizado
0262-6667,HYDROLOGICAL SCIENCES JOURNAL,B3,Atualizado
1980-1726,HYGEIA : REVISTA BRASILEIRA DE GEOGRAFIA MÉDICA E DA SAÚDE (UBERLÂNDIA),B5,Atualizado
1959-0318,I R B M NEWS,B4,Atualizado
1646-3692,IADIS INTERNATIONAL JOURNAL ON COMPUTER SCIENCE AND INFORMATION SYSTEMS,C ,Atualizado
1645-7641,IADIS INTERNATIONAL JOURNAL ON WWW/INTERNET,C ,Atualizado
1645-7641,IADIS INTERNATIONAL JOURNAL ON WWWINTERNET,C ,Atualizado
2027-7040,IBEROAMERICAN JOURNAL OF PROJECT MANAGEMENT (IJOPM),C ,Atualizado
2169-3536,IEEE ACCESS,B3,Atualizado
1058-6180,IEEE ANNALS OF THE HISTORY OF COMPUTING,B1,Atualizado
1531-636X,"IEEE CIRCUITS AND SYSTEMS MAGAZINE (NEW YORK, N.Y. 2001: PRINT)",A1,Atualizado
2325-6095,IEEE CLOUD COMPUTING,B2,Atualizado
1089-7798,IEEE COMMUNICATIONS LETTERS (PRINT),A1,Atualizado
0163-6804,IEEE COMMUNICATIONS MAGAZINE (PRINT),A1,Atualizado
1553-877X,IEEE COMMUNICATIONS SURVEYS AND TUTORIALS,A1,Atualizado
0272-1716,IEEE COMPUTER GRAPHICS AND APPLICATIONS,A2,Atualizado
1086-3702,IEEE COMPUTER SOCIETY,B5,Atualizado
1932-4537,IEEE ETRANSACTIONS ON NETWORK AND SERVICE MANAGEMENT,B1,Atualizado
1545-598X,IEEE GEOSCIENCE AND REMOTE SENSING LETTERS (PRINT),A2,Atualizado
1541-1672,IEEE INTELLIGENT SYSTEMS,A1,Atualizado
1089-7801,IEEE INTERNET COMPUTING,A1,Atualizado
2327-4662,IEEE INTERNET OF THINGS JOURNAL,B2,Atualizado
2168-2194,IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,A1,Atualizado
1939-1404,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,B3,Atualizado
1077-260X,IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS,B2,Atualizado
1932-4553,IEEE JOURNAL OF SELECTED TOPICS IN SIGNAL PROCESSING,A2,Atualizado
0733-8716,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS (PRINT),A1,Atualizado
0272-1732,IEEE MICRO,A1,Atualizado
1558-7908,IEEE MULTIDISCIPLINARY ENGINEERING EDUCATION MAGAZINE,B5,Atualizado
1070-986X,IEEE MULTIMEDIA,A2,Atualizado
0890-8044,IEEE NETWORK,A1,Atualizado
1943-0655,IEEE PHOTONICS JOURNAL,B3,Atualizado
2255-5706,IEEE REVISTA IBEROAMERICANA DE TECNOLOGIAS DEL APRENDIZAJE - VERSIÓN ABIERTA ESPAÑOL-PORTUGUÉS,C ,Atualizado
1070-9932,IEEE ROBOTICS & AUTOMATION MAGAZINE,A2,Atualizado
2377-3766,IEEE ROBOTICS AND AUTOMATION LETTERS,B5,Atualizado
1540-7993,IEEE SECURITY & PRIVACY,A2,Atualizado
1530-437X,IEEE SENSORS JOURNAL,A2,Atualizado
1070-9908,IEEE SIGNAL PROCESSING LETTERS,A1,Atualizado
0740-7459,IEEE SOFTWARE,A1,Atualizado
1932-8184,IEEE SYSTEMS JOURNAL,A2,Atualizado
0018-9286,IEEE TRANSACTIONS ON AUTOMATIC CONTROL (PRINT),A1,Atualizado
1545-5955,IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,A1,Atualizado
0018-9294,IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING (PRINT),A1,Atualizado
1051-8215,IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY (PRINT),A1,Atualizado
1549-8328,"IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS. I, REGULAR PAPERS (PRINT)",A1,Atualizado
1549-7747,"IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS. II, EXPRESS BRIEFS",A2,Atualizado
2168-7161,IEEE TRANSACTIONS ON CLOUD COMPUTING,B2,Atualizado
0090-6778,IEEE TRANSACTIONS ON COMMUNICATIONS (PRINT),A1,Atualizado
2329-924X,IEEE TRANSACTIONS ON COMPUTATIONAL SOCIAL SYSTEMS,B2,Atualizado
0278-0070,IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,A1,Atualizado
0018-9340,IEEE TRANSACTIONS ON COMPUTERS (PRINT),A1,Atualizado
0098-3063,IEEE TRANSACTIONS ON CONSUMER ELECTRONICS,A1,Atualizado
1063-6536,IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY (PRINT),B2,Atualizado
2168-2267,IEEE TRANSACTIONS ON CYBERNETICS,A1,Atualizado
1545-5971,IEEE TRANSACTIONS ON DEPENDABLE AND SECURE COMPUTING,B1,Atualizado
0018-9359,IEEE TRANSACTIONS ON EDUCATION,A2,Atualizado
2168-6750,IEEE TRANSACTIONS ON EMERGING TOPICS IN COMPUTING,B2,Atualizado
0018-9391,IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,A2,Atualizado
1089-778X,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,A1,Atualizado
1063-6706,IEEE TRANSACTIONS ON FUZZY SYSTEMS,A1,Atualizado
0196-2892,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,A1,Atualizado
1057-7149,IEEE TRANSACTIONS ON IMAGE PROCESSING,A1,Atualizado
0278-0046,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS (1982. PRINT),A1,Atualizado
1551-3203,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS,A1,Atualizado
1556-6013,IEEE TRANSACTIONS ON INFORMATION FORENSICS AND SECURITY,A2,Atualizado
1089-7771,IEEE TRANSACTIONS ON INFORMATION TECHNOLOGY IN BIOMEDICINE,A1,Atualizado
0018-9456,IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,A1,Atualizado
1524-9050,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS (PRINT),A1,Atualizado
1041-4347,IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING (PRINT),A1,Atualizado
0018-9464,IEEE TRANSACTIONS ON MAGNETICS,B3,Atualizado
0278-0062,IEEE TRANSACTIONS ON MEDICAL IMAGING (PRINT),A1,Atualizado
1536-1233,IEEE TRANSACTIONS ON MOBILE COMPUTING,A1,Atualizado
1520-9210,IEEE TRANSACTIONS ON MULTIMEDIA,A1,Atualizado
1536-125X,IEEE TRANSACTIONS ON NANOTECHNOLOGY,A2,Atualizado
1045-9227,IEEE TRANSACTIONS ON NEURAL NETWORKS,A1,Atualizado
2162-237X,IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS,A1,Atualizado
0018-9499,IEEE TRANSACTIONS ON NUCLEAR SCIENCE,A1,Atualizado
1045-9219,IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS (PRINT),A1,Atualizado
0162-8828,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,A1,Atualizado
0885-8977,IEEE TRANSACTIONS ON POWER DELIVERY,B3,Atualizado
0885-8950,IEEE TRANSACTIONS ON POWER SYSTEMS,B2,Atualizado
0018-9529,IEEE TRANSACTIONS ON RELIABILITY,A2,Atualizado
1552-3098,IEEE TRANSACTIONS ON ROBOTICS,A1,Atualizado
1949-3053,IEEE TRANSACTIONS ON SMART GRID,A1,Atualizado
0098-5589,IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,A1,Atualizado
1083-4427,"IEEE TRANSACTIONS ON SYSTEMS, MAN AND CYBERNETICS. PART A. SYSTEMS AND HUMANS",A1,Atualizado
1083-4419,"IEEE TRANSACTIONS ON SYSTEMS, MAN AND CYBERNETICS. PART B. CYBERNETICS",A1,Atualizado
1094-6977,"IEEE TRANSACTIONS ON SYSTEMS, MAN AND CYBERNETICS. PART C, APPLICATIONS AND REVIEWS",A1,Atualizado
2168-2216,"IEEE TRANSACTIONS ON SYSTEMS, MAN, AND CYBERNETICS: SYSTEMS",B1,Atualizado
0018-9545,IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,A1,Atualizado
1063-8210,IEEE TRANSACTIONS ON VERY LARGE SCALE INTEGRATION (VLSI) SYSTEMS (PRINT),A1,Atualizado
1077-2626,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,A1,Atualizado
1536-1276,IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,A1,Atualizado
1556-6072,IEEE VEHICULAR TECHNOLOGY MAGAZINE,B2,Atualizado
1536-1284,IEEE WIRELESS COMMUNICATIONS,A1,Atualizado
2162-2337,IEEE WIRELESS COMMUNICATIONS LETTERS,B1,Atualizado
2329-9290,"IEEE/ACM TRANSACTIONS ON AUDIO, SPEECH AND LANGUAGE PROCESSING",B1,Atualizado
1545-5963,IEEE/ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS (PRINT),A2,Atualizado
1063-6692,IEEE/ACM TRANSACTIONS ON NETWORKING (PRINT),A1,Atualizado
1932-8540,IEEE-RITA,B5,Atualizado
1745-1345,IEICE TRANSACTIONS ON COMMUNICATIONS (ONLINE),B5,Atualizado
0916-8508,"IEICE TRANSACTIONS ON FUNDAMENTALS OF ELECTRONICS, COMMUNICATIONS AND COMPUTER SCIENCE",B1,Atualizado
0916-8532,IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS,B1,Atualizado
2212-6678,IERI PROCEDIA,C ,Atualizado
2047-4938,IET BIOMETRICS,B1,Atualizado
1751-858X,"IET CIRCUITS, DEVICES & SYSTEMS (PRINT)",B1,Atualizado
1751-8601,IET COMPUTERS & DIGITAL TECHNIQUES (PRINT),B1,Atualizado
1751-8687,"IET GENERATION, TRANSMISSION & DISTRIBUTION (PRINT)",B3,Atualizado
1751-9659,IET IMAGE PROCESSING (PRINT),B1,Atualizado
1751-8733,"IET MICROWAVES, ANTENNAS & PROPAGATION (ONLINE)",B3,Atualizado
1751-8725,"IET MICROWAVES, ANTENNAS & PROPAGATION (PRINT)",B3,Atualizado
1751-8814,IET SOFTWARE (ONLINE),B1,Atualizado
1751-8806,IET SOFTWARE (PRINT),B1,Atualizado
2405-8963,IFAC-PAPERSONLINE,C ,Atualizado
0272-4979,IMA JOURNAL OF NUMERICAL ANALYSIS,A2,Atualizado
0262-8856,IMAGE AND VISION COMPUTING,A1,Atualizado
2236-269X,INDEPENDENT JOURNAL OF MANAGEMENT & PRODUCTION,B5,Atualizado
0143-991X,INDUSTRIAL ROBOT,C ,Atualizado
1808-5377,INFODESIGN (SBDI. ONLINE),B5,Atualizado
1981-8920,INFORMAÇÃO & INFORMAÇÃO,B5,Atualizado
1981-8920,INFORMAÇÃO & INFORMAÇÃO (UEL. ONLINE),B5,Atualizado
1392-124X,INFORMACINÉS TECHNOLOGIJOS IR VALDYMAS,C ,Atualizado
0718-0764,INFORMACION TECNOLOGICA,B5,Atualizado
1982-1654,INFORMÁTICA NA EDUCAÇÃO,B5,Atualizado
1516-084X,INFORMÁTICA NA EDUCAÇÃO,B5,Atualizado
1516-084X,INFORMÁTICA NA EDUCAÇÃO (IMPRESSO),B5,Atualizado
1648-5831,INFORMATICS IN EDUCATION,B1,Atualizado
2078-2489,INFORMATION,B2,Atualizado
2166-3033,INFORMATION & CULTURE,C ,Atualizado
0890-5401,INFORMATION AND COMPUTATION (PRINT),A2,Atualizado
0950-5849,INFORMATION AND SOFTWARE TECHNOLOGY,A2,Atualizado
1369-118X,"INFORMATION, COMMUNICATION & SOCIETY",A2,Atualizado
0266-6669,INFORMATION DEVELOPMENT,B3,Atualizado
