trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2014		Extração de Propriedades Sociais em Redes Veiculares	Workshop de Redes P2P	CUNHA, Felipe Domingos da ; RODRIGUES, T. ; VIANA, Aline C. ; Mini, Raquel A. F. ; LOUREIRO, Antonio Alfredo Ferreira	Qualis nao identificado	Workshop de Redes P2P
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2014		BaSCoP: um Esquema de Precificação para Redes de Celular Baseado no Congestionamento de Estações Base	Seminário Integrado de Software e Hardware (SEMISH)	DAMASCENO, A. G. M. ; Mini, Raquel A. F. ; MARQUES NETO, Humberto Torres	B4	Seminário Integrado de Software e Hardware
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2014		Registro Ubíquo de Controle Acadêmico: Localização em Ambiente Interno utilizando Ciclo de Trabalho Dinâmico	Simpósio Brasileiro de Computação Ubíqua e Pervasiva	CHAMON, J. P. ; SOUZA, T. ; ROSA, A. ; MINI, Raquel Aparecida de Freitas	B5	
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2014		Protocolo de Roteamento Híbrido Baseado em Emissor e em Receptor para Redes de Sensores Sem Fio	Simpósio Brasileiro de Computação Ubíqua e Pervasiva	NOVY, Gabriel Felipe Cândido ; MACHADO, Max Do Val ; Fátima L.P.D. Figueiredo ; MINI, Raquel Aparecida de Freitas	B5	
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2014		Socially Inspired Data Dissemination for Vehicular Ad Hoc Networks	ACM International Conference on Modeling	CUNHA, Felipe Domingos da ; MENEZES, J. G. M. ; VIANA, Aline C. ; MINI, Raquel Aparecida de Freitas ; VILLAS, Leandro Aparecido ; LOUREIRO, Antonio Alfredo Ferreira	B1	ACM International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2013		UbiTester: Um Framework para Geração de Planos de Teste para Computação Ubíqua	Simpósio Brasileiro de Qualidade de Software	MARTINS, T. M. ; MINI, Raquel Aparecida de Freitas ; MARQUES NETO, H. T.	B3	
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2013		How effective is to look at a Vehicular Network under a Social Perception?	Internet of Things Communications and Technologies (IoT 2013) in conjunction with IEEE WImob 2013	CUNHA, Felipe Domingos da ; VIANA, Aline C. ; Mini, Raquel A. F. ; LOUREIRO, Antonio Alfredo Ferreira	Qualis nao identificado	Internet of Things Communications and Technologies (IoT 2013) in conjunction with IEEE WImob 2013
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2012		Política Híbrida para Determinar o Momento Acordado do Próximo Nó na Comunicação em Redes de Sensores Sem Fio	Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos	MACHADO, Max Do Val ; MINI, Raquel Aparecida de Freitas ; LOUREIRO, Antonio Alfredo Ferreira	B2	
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2012		Um Protocolo de Distribuição de Dados para Redes de Sensores Sem Fio Heterogêneas com Sink Móvel	Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos	MAIA, Guilherme ; GUIDONI, Daniel Ludovico ; VIANA, Aline ; AQUINO, Andre Luiz Lins de ; MINI, Raquel Aparecida de Freitas ; LOUREIRO, Antonio Alfredo Ferreira	B2	
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2012		A Framework based on Small World Features to Design HSNs Topologies with QoS	IEEE Symposium on Computers and Communications (ISCC)	GUIDONI, Daniel Ludovico ; BOUKERCHE, Azzedine ; VILLAS, Leandro Aparecido ; SOUZA, Fernanda S. H. ; MINI, Raquel Aparecida de Freitas ; LOUREIRO, Antonio Alfredo Ferreira	A2	IEEE Symposium on Computers and Communications
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2012		Sensor-MAC with Dynamic Duty Cycle in Wireless Sensor Networks	IEEE Global Communications Conference Exhibition Industry Forum (Globecom)	CUNHA, Felipe Domingos da ; MINI, Raquel Aparecida de Freitas ; LOUREIRO, Antonio Alfredo Ferreira	Qualis nao identificado	IEEE Global Communications Conference Exhibition Industry Forum (Globecom)
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2011		A Tree-based Approach to Design Heterogeneous Sensor Networks Based on Small World Concepts	7th IEEE International Workshop on Performance and Management of Wireless and Mobile Networks	GUIDONI, Daniel Ludovico ; BOUKERCHE, Azzedine ; Villas, Leandro A. ; MINI, Raquel Aparecida de Freitas ; LOUREIRO, Antonio Alfredo Ferreira	Qualis nao identificado	7th IEEE International Workshop on Performance and Management of Wireless and Mobile Networks
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2010		A Small World Model to Improve Synchronization Algorithms for Wireless Sensor Networks	IEEE Symposium on Computers and Communications	GUIDONI, Daniel Ludovico ; BOUKERCHE, Azzedine ; OLIVEIRA, Horacio Antonio Braga Fernandes de ; Mini, Raquel A.F. ; LOUREIRO, Antonio Alfredo Ferreira	A2	
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2010		Projeto Integrado para Comunicação de Dados em Redes de Sensores sem Fio	Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos	CUNHA, Felipe Domingos da ; NASCIMENTO, Michelle Nery ; Mini, Raquel A.F. ; LOUREIRO, Antonio Alfredo Ferreira	B2	
